TimeSinceStart,UserHeight,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z,MainPadPressed,MainTriggerPressed
40.16444,1,1,Training,0,0,Flat,5,showPattern,-0.0611226,0.6353501,-0.03960644,326.0898,0.4638955,353.5771,-2.000984,0.8572396,-3.716517,348.2476,335.2617,350.6421,False,False
40.17556,1,1,Training,0,0,Flat,5,showPattern,-0.06114364,0.6353478,-0.03957421,326.0838,0.4565304,353.5869,-2.00102,0.8572187,-3.716354,348.2509,335.2646,350.6452,False,False
40.18667,1,1,Training,0,0,Flat,5,showPattern,-0.06117339,0.6353502,-0.03956106,326.0869,0.4705622,353.5768,-2.001132,0.8571867,-3.716339,348.2611,335.2605,350.649,False,False
40.19778,1,1,Training,0,0,Flat,5,showPattern,-0.06106415,0.6354198,-0.03955695,326.0906,0.4681403,353.5826,-2.00114,0.8572984,-3.716527,348.2567,335.2606,350.6375,False,False
40.20889,1,1,Training,0,0,Flat,5,showPattern,-0.06107279,0.635452,-0.03952685,326.0836,0.4607726,353.5714,-2.000772,0.8573614,-3.716387,348.2544,335.2699,350.6129,False,False
40.22,1,1,Training,0,0,Flat,5,showPattern,-0.06100305,0.6353818,-0.0395497,326.0867,0.4667565,353.5766,-2.000701,0.8571522,-3.716498,348.2533,335.28,350.5982,False,False
40.23111,1,1,Training,0,0,Flat,5,showPattern,-0.06101678,0.6353282,-0.03958911,326.0822,0.4641443,353.5751,-2.00066,0.8571796,-3.716633,348.2624,335.3011,350.5883,False,False
40.24222,1,1,Training,0,0,Flat,5,showPattern,-0.0609428,0.6353543,-0.03955679,326.0862,0.4659736,353.5876,-2.00088,0.8571671,-3.71666,348.2628,335.2912,350.5756,False,False
40.25333,1,1,Training,0,0,Flat,5,showPattern,-0.06089823,0.6353065,-0.03952183,326.0803,0.4693694,353.5775,-2.000869,0.8570631,-3.716632,348.2632,335.2958,350.5613,False,False
40.26445,1,1,Training,0,0,Flat,5,showPattern,-0.06078575,0.6353265,-0.03954943,326.0856,0.4597199,353.5753,-2.000576,0.8567338,-3.716964,348.2438,335.3121,350.5384,False,False
40.27555,1,1,Training,0,0,Flat,5,showPattern,-0.0607338,0.6352755,-0.03958801,326.0845,0.4664338,353.5745,-2.00071,0.8566034,-3.717316,348.254,335.3118,350.5475,False,False
40.28667,1,1,Training,0,0,Flat,5,showPattern,-0.06070592,0.635281,-0.03957603,326.0832,0.4599069,353.5702,-2.000695,0.8565738,-3.717384,348.2549,335.3069,350.5479,False,False
