TimeSinceStart,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z
6.453191,1,Training,0,0,Semi-Circle,5,prepare,0.3166231,1.53545,0.04004963,18.37464,75.61016,55.55927,0.4040486,0.9874554,-0.064413,3.249261,22.60683,330.572
6.464302,1,Training,0,0,Semi-Circle,5,prepare,0.3169832,1.532457,0.0403258,18.60697,76.04586,56.11904,0.4038438,0.9876825,-0.06452011,3.230741,22.58583,330.5734
6.475412,1,Training,0,0,Semi-Circle,5,prepare,0.3176296,1.529764,0.0406976,18.79646,76.43076,56.58933,0.4038986,0.9877357,-0.06462564,3.193297,22.58988,330.5985
6.486523,1,Training,0,0,Semi-Circle,5,prepare,0.3179556,1.526746,0.04081455,18.95401,76.77005,56.98499,0.4039828,0.9881131,-0.06440407,3.176983,22.56779,330.6119
6.508745,1,Training,0,0,Semi-Circle,5,prepare,0.3182659,1.523653,0.04091857,19.13993,77.12317,57.39463,0.4041148,0.9885724,-0.06429514,3.174321,22.5433,330.6335
6.519856,1,Training,0,0,Semi-Circle,5,prepare,0.3192849,1.517787,0.04146634,19.59728,77.93066,58.15234,0.4045428,0.9888958,-0.06384704,3.201065,22.53779,330.6165
6.530967,1,Training,0,0,Semi-Circle,5,prepare,0.3196548,1.514851,0.04160322,19.81719,78.34332,58.55099,0.4045058,0.9890916,-0.06381761,3.224254,22.53989,330.596
6.542078,1,Training,0,0,Semi-Circle,5,prepare,0.3203455,1.512079,0.04191925,20.0218,78.77795,58.98632,0.4045472,0.9891117,-0.06391689,3.245666,22.56279,330.5784
6.553188,1,Training,0,0,Semi-Circle,5,prepare,0.3209269,1.509455,0.04208089,20.18193,79.23257,59.49153,0.4044175,0.9896153,-0.06387985,3.269509,22.58657,330.565
6.564299,1,Training,0,0,Semi-Circle,5,prepare,0.3215671,1.506959,0.0422028,20.31176,79.64498,59.95036,0.4043177,0.9892679,-0.06423346,3.281114,22.59466,330.5695
6.57541,1,Training,0,0,Semi-Circle,5,prepare,0.322397,1.504654,0.04237334,20.45421,80.01846,60.36045,0.4041145,0.9894913,-0.06450619,3.291381,22.65264,330.5878
6.586521,1,Training,0,0,Semi-Circle,5,prepare,0.323016,1.502145,0.0425049,20.54889,80.39632,60.68144,0.4035754,0.989558,-0.06495377,3.285229,22.67085,330.6208
6.597632,1,Training,0,0,Semi-Circle,5,prepare,0.3236853,1.499793,0.04266614,20.68543,80.73409,60.93821,0.4031348,0.9898623,-0.06529897,3.275887,22.70451,330.6595
6.608743,1,Training,0,0,Semi-Circle,5,prepare,0.3245163,1.4976,0.04294844,20.8688,81.03047,61.20379,0.4029035,0.9901332,-0.0656045,3.257143,22.76522,330.72
6.619853,1,Training,0,0,Semi-Circle,5,prepare,0.3253,1.495406,0.04322476,21.00575,81.3511,61.52709,0.4024721,0.9908409,-0.06564781,3.23087,22.80579,330.7974
6.630964,1,Training,0,0,Semi-Circle,5,prepare,0.3261811,1.49341,0.0434904,21.11678,81.67103,61.95956,0.4021594,0.9915021,-0.0658083,3.193713,22.851,330.9438
6.653186,1,Training,0,0,Semi-Circle,5,prepare,0.3272197,1.491326,0.04371107,21.19646,82.01204,62.35031,0.4015019,0.992421,-0.06610873,3.138563,22.88425,331.5855
6.664297,1,Training,0,0,Semi-Circle,5,prepare,0.329441,1.487865,0.0443767,21.33378,82.73151,63.26296,0.4011454,0.9930994,-0.06614938,3.113525,22.86108,331.7871
6.675408,1,Training,0,0,Semi-Circle,5,prepare,0.3307791,1.486296,0.04470759,21.34272,83.02425,63.59517,0.4010468,0.9932674,-0.0663061,3.095448,22.8614,331.9675
6.686519,1,Training,0,0,Semi-Circle,5,prepare,0.3320391,1.484697,0.04501671,21.37201,83.29753,63.90096,0.4010868,0.9930567,-0.06640134,3.111098,22.86701,332.0679
6.697629,1,Training,0,0,Semi-Circle,5,prepare,0.3351145,1.48201,0.04571103,21.50586,83.81362,64.30943,0.4010538,0.9928887,-0.0665957,3.14062,22.86603,331.8968
6.708741,1,Training,0,0,Semi-Circle,5,prepare,0.3367443,1.480814,0.04611687,21.52525,84.0859,64.5064,0.4009526,0.9930418,-0.06702977,3.1611,22.87215,331.6685
6.719851,1,Training,0,0,Semi-Circle,5,prepare,0.3384998,1.479738,0.04649984,21.54025,84.33819,64.69653,0.4008847,0.9926237,-0.06738463,3.171333,22.8985,331.6739
6.730962,1,Training,0,0,Semi-Circle,5,prepare,0.340315,1.478527,0.04677508,21.54655,84.61192,64.91285,0.4008427,0.9928688,-0.06761871,3.185213,22.92475,331.6663
6.742073,1,Training,0,0,Semi-Circle,5,prepare,0.3423311,1.477632,0.04713931,21.56144,84.84045,65.11311,0.4006185,0.9930899,-0.06803604,3.198913,22.9639,331.6522
6.753184,1,Training,0,0,Semi-Circle,5,prepare,0.3445193,1.476844,0.04746386,21.57104,85.05484,65.31305,0.4004518,0.9932409,-0.06835216,3.215902,23.00636,331.6459
6.764295,1,Training,0,0,Semi-Circle,5,prepare,0.3468805,1.476064,0.04766873,21.54721,85.22643,65.45708,0.4003489,0.993329,-0.06855518,3.236468,23.06788,331.6521
6.775406,1,Training,0,0,Semi-Circle,5,prepare,0.3491884,1.475324,0.04800465,21.54958,85.47353,65.5955,0.4000105,0.9932472,-0.06865068,3.244786,23.10043,331.6629
6.797627,1,Training,0,0,Semi-Circle,5,prepare,0.3516682,1.474748,0.0483115,21.58582,85.75731,65.6873,0.3997285,0.9932029,-0.06868824,3.247018,23.12131,331.6826
6.797627,1,Training,0,0,Semi-Circle,5,prepare,0.3541826,1.474102,0.04846667,21.64252,86.07396,65.79427,0.3995298,0.9932483,-0.06863502,3.245474,23.12899,331.7168
6.808738,1,Training,0,0,Semi-Circle,5,prepare,0.3567902,1.473626,0.0486159,21.64782,86.3186,65.8432,0.3992322,0.9931181,-0.06829172,3.255594,23.09764,331.8849
6.819849,1,Training,0,0,Semi-Circle,5,prepare,0.3595394,1.473176,0.04866179,21.62502,86.49723,65.87926,0.3989672,0.9931241,-0.06812542,3.295033,23.03802,332.1083
6.83096,1,Training,0,0,Semi-Circle,5,prepare,0.3622532,1.47255,0.04856737,21.62864,86.71979,65.94328,0.3988269,0.9932283,-0.06804041,3.346964,23.00072,332.2686
6.842071,1,Training,0,0,Semi-Circle,5,prepare,0.3652039,1.472131,0.04853,21.63339,86.97943,66.01616,0.398582,0.9932845,-0.06812824,3.433518,22.98289,332.4739
6.853182,1,Training,0,0,Semi-Circle,5,prepare,0.3682141,1.471693,0.04841673,21.62127,87.24974,66.09273,0.3984337,0.9936954,-0.06813376,3.551806,22.99509,332.6419
6.864293,1,Training,0,0,Semi-Circle,5,prepare,0.3712004,1.471046,0.04809528,21.61495,87.51817,66.1602,0.3985085,0.9936969,-0.06833042,3.623106,23.033,332.6342
6.875403,1,Training,0,0,Semi-Circle,5,prepare,0.3742379,1.470598,0.04792164,21.56643,87.79072,66.23704,0.3984471,0.9934929,-0.06861901,3.601911,23.0428,332.5503
6.886514,1,Training,0,0,Semi-Circle,5,prepare,0.3775014,1.470224,0.04760469,21.41926,88.01793,66.30856,0.3984734,0.9933098,-0.06888759,3.541858,23.04485,332.4586
6.897625,1,Training,0,0,Semi-Circle,5,prepare,0.3807981,1.469634,0.04712759,21.23025,88.30032,66.40112,0.3984734,0.9933098,-0.06888759,3.541858,23.04485,332.4586
6.908736,1,Training,0,0,Semi-Circle,5,prepare,0.3841959,1.469303,0.0468098,21.03307,88.62124,66.52941,0.3985626,0.9933483,-0.06909193,3.542653,23.04462,332.463
6.919847,1,Training,0,0,Semi-Circle,5,prepare,0.3876276,1.46893,0.04647629,20.80857,88.98447,66.6965,0.3985951,0.9930709,-0.0694708,3.571048,23.04503,332.5031
6.930958,1,Training,0,0,Semi-Circle,5,prepare,0.3910003,1.468314,0.04596315,20.57046,89.3343,66.86351,0.3986875,0.992852,-0.06980621,3.587046,23.04604,332.5116
6.942069,1,Training,0,0,Semi-Circle,5,prepare,0.3945993,1.467934,0.04554079,20.27438,89.68792,67.06977,0.3987659,0.9923421,-0.07029805,3.613904,23.04365,332.5137
6.953179,1,Training,0,0,Semi-Circle,5,prepare,0.3982634,1.467518,0.04514199,20.02683,90.07616,67.28735,0.3989595,0.9921924,-0.07063337,3.656757,23.048,332.5089
6.953179,1,Training,0,0,Semi-Circle,5,prepare,0.4017503,1.466866,0.04458249,19.74729,90.47115,67.46866,0.399081,0.9915954,-0.0711339,3.780401,23.07714,332.4825
6.975401,1,Training,0,0,Semi-Circle,5,prepare,0.4053311,1.466438,0.04414578,19.43032,90.85764,67.63384,0.3993865,0.9911673,-0.07162254,4.030836,23.18155,332.4177
6.986512,1,Training,0,0,Semi-Circle,5,prepare,0.4090015,1.465986,0.04373988,18.97503,91.26472,67.75544,0.399303,0.9905652,-0.07213405,4.200638,23.2621,332.3952
6.997623,1,Training,0,0,Semi-Circle,5,prepare,0.4125735,1.465414,0.04327323,18.49756,91.71128,67.89511,0.3993327,0.9899775,-0.0726193,4.363109,23.3388,332.4186
7.008734,1,Training,0,0,Semi-Circle,5,prepare,0.4163523,1.464968,0.04294208,18.02296,92.17507,68.04534,0.3994805,0.989738,-0.07301883,4.475482,23.39609,332.4907
7.019845,1,Training,0,0,Semi-Circle,5,prepare,0.4201047,1.464536,0.04257741,17.5776,92.5907,68.17017,0.3992231,0.9893523,-0.07341518,4.540189,23.41283,332.575
7.030955,1,Training,0,0,Semi-Circle,5,prepare,0.4239019,1.463871,0.04217364,17.07709,92.97779,68.27484,0.3991637,0.9890467,-0.07381427,4.522306,23.39738,332.6729
7.042067,1,Training,0,0,Semi-Circle,5,prepare,0.4278457,1.463388,0.0419464,16.53831,93.35207,68.35069,0.3992495,0.9890185,-0.07417282,4.525159,23.38864,332.7465
7.053177,1,Training,0,0,Semi-Circle,5,prepare,0.431812,1.462908,0.04182988,15.95862,93.7921,68.44036,0.3991521,0.9884021,-0.07505766,4.517432,23.3469,332.928
